id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,CodePays
tt1119646,The Hangover,movie,Comedy,7.7,887374.0,2009.0,tm137072,3.0,tous publics,"'us', 'de'"
tt0382932,Ratatouille,movie,"Adventure, Animation, Comedy",8.1,885567.0,2007.0,tm70557,1.0,tous publics,'us'
tt0121766,Star Wars: Episode III - Revenge of the Sith,movie,"Action, Adventure, Fantasy",7.6,884559.0,2005.0,tm6,1.0,tous publics,"'us', 'it', 'ch', 'th', 'gb'"
tt1454468,Gravity,movie,"Drama, Sci-Fi, Thriller",7.7,881950.0,2013.0,tm179029,3.0,tous publics,"'gb', 'us'"
tt1825683,Black Panther,movie,"Action, Adventure, Sci-Fi",7.3,874709.0,2018.0,tm418,1.0,tous publics,'us'
tt1392214,Prisoners,movie,"Crime, Drama, Mystery",8.2,871790.0,2013.0,tm166586,1.0,12,'us'
tt1877830,The Batman,movie,"Action, Crime, Drama",7.8,871135.0,2022.0,tm244142,3.0,tous publics avec avertissement,'us'
tt2096673,Inside Out,movie,"Adventure, Animation, Comedy",8.1,867515.0,2015.0,tm135902,1.0,tous publics,'us'
tt0947798,Black Swan,movie,"Drama, Thriller",8.0,859395.0,2010.0,tm100061,1.0,16::(itunes),'us'
tt0317705,The Incredibles,movie,"Action, Adventure, Animation",8.0,855466.0,2004.0,tm84505,1.0,tous publics,'us'
tt0083658,Blade Runner,movie,"Action, Drama, Sci-Fi",8.1,854308.0,1982.0,tm40461,3.0,tous publics avec avertissement,"'us', 'gb'"
tt2084970,The Imitation Game,movie,"Biography, Drama, Thriller",8.0,853286.0,2014.0,tm140877,2.0,tous publics,'us'
tt0060196,"The Good, the Bad and the Ugly",movie,"Adventure, Western",8.8,853188.0,1966.0,tm71121,1.0,tous publics avec avertissement,"'it', 'es', 'xwg', 'us'"
tt0480249,I Am Legend,movie,"Drama, Horror, Sci-Fi",7.2,849919.0,2007.0,tm70807,2.0,tous publics avec avertissement,"'us', 'gb'"
tt1211837,Doctor Strange,movie,"Action, Adventure, Fantasy",7.5,843460.0,2016.0,tm123360,1.0,tous publics,"'us', 'hk', 'np'"
tt1205489,Gran Torino,movie,Drama,8.1,839471.0,2008.0,tm48591,3.0,tous publics,"'de', 'us'"
tt0097576,Indiana Jones and the Last Crusade,movie,"Action, Adventure",8.2,838705.0,1989.0,tm140316,3.0,tous publics,'us'
tt0378194,Kill Bill: Vol. 2,movie,"Action, Crime, Thriller",8.0,837956.0,2004.0,tm89040,3.0,12,'us'
tt0317248,City of God,movie,"Crime, Drama",8.6,837485.0,2002.0,tm119115,6.0,16,"'br', 'fr'"
tt0770828,Man of Steel,movie,"Action, Adventure, Sci-Fi",7.1,834132.0,2013.0,tm165938,3.0,tous publics,"'us', 'gb', 'ca'"
tt0093058,Full Metal Jacket,movie,"Drama, War",8.2,822069.0,1987.0,tm22327,3.0,12,"'gb', 'us'"
tt0211915,Amélie,movie,"Comedy, Romance",8.3,818602.0,2001.0,tm50138,2.0,tous publics,"'fr', 'de'"
tt2543164,Arrival,movie,"Drama, Mystery, Sci-Fi",7.9,817556.0,2016.0,tm205861,4.0,tous publics,"'us', 'ca'"
tt0090605,Aliens,movie,"Action, Adventure, Horror",8.4,808971.0,1986.0,tm121723,1.0,12::(new rating),"'gb', 'us'"
tt0401792,Sin City,movie,"Crime, Thriller",8.0,807634.0,2005.0,tm175595,2.0,12 avec avertissement,'us'
tt0383574,Pirates of the Caribbean: Dead Man's Chest,movie,"Action, Adventure, Fantasy",7.4,797423.0,2006.0,tm31764,1.0,tous publics,'us'
tt3896198,Guardians of the Galaxy Vol. 2,movie,"Action, Adventure, Comedy",7.6,795018.0,2017.0,tm386,1.0,tous publics,'us'
tt1285016,The Social Network,movie,"Biography, Drama",7.8,790606.0,2010.0,tm86803,5.0,tous publics,'us'
tt0121765,Star Wars: Episode II - Attack of the Clones,movie,"Action, Adventure, Fantasy",6.6,789938.0,2002.0,tm5,1.0,tous publics,"'us', 'gb'"
tt0144084,American Psycho,movie,"Crime, Drama, Horror",7.6,780836.0,2000.0,tm23894,2.0,16,'us'
tt2911666,John Wick,movie,"Action, Crime, Thriller",7.5,780765.0,2014.0,tm153649,1.0,12,'us'
tt0118799,Life Is Beautiful,movie,"Comedy, Drama, Romance",8.6,778431.0,1997.0,tm191045,1.0,tous publics,'it'
tt0126029,Shrek,movie,"Adventure, Animation, Comedy",7.9,773634.0,2001.0,tm50314,2.0,tous publics,'us'
tt5013056,Dunkirk,movie,"Action, Drama, History",7.8,773375.0,2017.0,tm232797,3.0,tous publics,"'gb', 'nl', 'fr', 'us'"
tt1631867,Edge of Tomorrow,movie,"Action, Adventure, Sci-Fi",7.9,772555.0,2014.0,tm135878,2.0,tous publics,"'us', 'ca', 'in'"
tt2975590,Batman v Superman: Dawn of Justice,movie,"Action, Adventure, Sci-Fi",6.5,771347.0,2016.0,tm1881,3.0,tous publics avec avertissement,"'us', 'ma'"
tt1877832,X-Men: Days of Future Past,movie,"Action, Adventure, Sci-Fi",7.9,770283.0,2014.0,tm155402,1.0,tous publics,"'gb', 'us', 'ca'"
tt2024544,12 Years a Slave,movie,"Biography, Drama, History",8.1,764787.0,2013.0,tm188852,3.0,tous publics avec avertissement,"'gb', 'us'"
tt1045658,Silver Linings Playbook,movie,"Comedy, Drama, Romance",7.7,759577.0,2012.0,tm59428,4.0,tous publics,'us'
tt0113277,Heat,movie,"Action, Crime, Drama",8.3,758193.0,1995.0,tm11005,2.0,tous publics avec avertissement,'us'
tt2250912,Spider-Man: Homecoming,movie,"Action, Adventure, Sci-Fi",7.4,757661.0,2017.0,tm422,1.0,tous publics,'us'
tt0116282,Fargo,movie,"Crime, Drama, Thriller",8.1,756549.0,1996.0,tm106648,3.0,12,"'gb', 'us'"
tt0062622,2001: A Space Odyssey,movie,"Adventure, Sci-Fi",8.3,753650.0,1968.0,tm362,3.0,tous publics,"'gb', 'us'"
tt0816711,World War Z,movie,"Action, Adventure, Horror",7.0,752752.0,2013.0,tm179734,4.0,12,"'us', 'gb'"
tt2802144,Kingsman: The Secret Service,movie,"Action, Adventure, Comedy",7.7,752634.0,2014.0,tm132771,1.0,tous publics avec avertissement,"'gb', 'us'"
tt1981115,Thor: The Dark World,movie,"Action, Adventure, Fantasy",6.7,752006.0,2013.0,tm179159,1.0,tous publics,'us'
tt0478970,Ant-Man,movie,"Action, Comedy, Sci-Fi",7.2,751259.0,2015.0,tm141020,1.0,tous publics,'us'
tt1951264,The Hunger Games: Catching Fire,movie,"Action, Adventure, Sci-Fi",7.5,748081.0,2013.0,tm165518,1.0,tous publics avec avertissement,'us'
tt0316654,Spider-Man 2,movie,"Action, Adventure, Sci-Fi",7.5,746966.0,2004.0,tm79988,3.0,tous publics,'us'
tt1270798,X-Men: First Class,movie,"Action, Sci-Fi",7.7,746649.0,2011.0,tm165634,1.0,tous publics,"'us', 'gb'"
tt0405159,Million Dollar Baby,movie,"Drama, Sport",8.1,746394.0,2004.0,tm84441,1.0,tous publics,'us'
tt1386697,Suicide Squad,movie,"Action, Adventure, Fantasy",5.9,741205.0,2016.0,tm122844,4.0,tous publics avec avertissement,'us'
tt0780504,Drive,movie,"Action, Drama",7.8,736221.0,2011.0,tm166168,2.0,12,'us'
tt1136608,District 9,movie,"Action, Sci-Fi, Thriller",7.9,735687.0,2009.0,tm136410,1.0,tous publics avec avertissement,"'za', 'us', 'nz', 'ca'"
tt0948470,The Amazing Spider-Man,movie,"Action, Sci-Fi",6.9,733592.0,2012.0,tm44730,3.0,tous publics,'us'
tt4633694,Spider-Man: Into the Spider-Verse,movie,"Action, Adventure, Animation",8.4,731047.0,2018.0,tm222003,2.0,tous publics,"'ca', 'us'"
tt0304141,Harry Potter and the Prisoner of Azkaban,movie,"Adventure, Family, Fantasy",7.9,729483.0,2004.0,tm86278,2.0,tous publics,"'gb', 'us'"
tt0295297,Harry Potter and the Chamber of Secrets,movie,"Adventure, Family, Fantasy",7.4,729453.0,2002.0,tm109994,3.0,tous publics,"'gb', 'us'"
tt0421715,The Curious Case of Benjamin Button,movie,"Drama, Fantasy, Romance",7.8,721664.0,2008.0,tm52046,2.0,tous publics,'us'
