,id,title,type,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,Diffuseur,SVOD,ClassificationSVOD,visaCNC,classifCNC,ValNudite,ScoreNudite,ValViolence,ScoreViolence,ValVulgarite,ScoreVulgarite,ValStupefiants,ScoreStupefiants,ValIntensite,ScoreIntensite,Genre_action,Genre_adventure,Genre_animation,Genre_biography,Genre_comedy,Genre_crime,Genre_documentary,Genre_drama,Genre_family,Genre_fantasy,Genre_film-noir,Genre_history,Genre_horror,Genre_music,Genre_musical,Genre_mystery,Genre_romance,Genre_sci-fi,Genre_sport,Genre_thriller,Genre_war,Genre_western,classifJW,Duree,DureeEp,CP_
31,tt0172495,Gladiator,movie,8.5,1760458.0,2000.0,tm28142,4.0,tous publics avec avertissement,https://app.primevideo.com/detail?gti=amzn1.dv.gti.5d60cc03-f2ec-4bcc-98d4-3437070f9c52,Prime Video,16+,99762,Tous publics avec avertissement,Faible,55.05,Élevé,75.81,Faible,71.78,Aucun,79.19,Élevé,57.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,155.0,,['US']
32,tt0993846,The Wolf of Wall Street,movie,8.2,1687611.0,2013.0,tm188690,2.0,12,https://www.molotov.tv/fr_fr/p/17128-2326/le-loup-de-wall-street,MolotovTV,,138743,Interdiction aux mineurs -12 ans,Élevé,90.51,Modéré,47.14,Élevé,91.32,Élevé,95.25,Modéré,41.72,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,179.0,,['US']
33,tt0993846,The Wolf of Wall Street,movie,8.2,1687611.0,2013.0,tm188690,2.0,12,https://app.primevideo.com/detail?gti=amzn1.dv.gti.1a9b903a-6665-4d2a-89bc-2bcfd4d96e69,Prime Video,13+,138743,Interdiction aux mineurs -12 ans,Élevé,90.51,Modéré,47.14,Élevé,91.32,Élevé,95.25,Modéré,41.72,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,179.0,,['US']
34,tt0361748,Inglourious Basterds,movie,8.4,1683117.0,2009.0,tm143861,3.0,12,https://play.max.com/show/b81d5297-6162-427a-843f-40b032f7e2c5?utm_source=universal_search,MAX,,123772,Interdiction aux mineurs -12 ans,Faible,56.72,Élevé,91.46,Élevé,52.7,Faible,65.96,Élevé,71.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12,153.0,,['US']
35,tt0361748,Inglourious Basterds,movie,8.4,1683117.0,2009.0,tm143861,3.0,12,https://www.netflix.com/title/70108777,Netflix,18+,123772,Interdiction aux mineurs -12 ans,Faible,56.72,Élevé,91.46,Élevé,52.7,Faible,65.96,Élevé,71.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12,153.0,,['US']
36,tt0361748,Inglourious Basterds,movie,8.4,1683117.0,2009.0,tm143861,3.0,12,https://app.primevideo.com/detail?gti=amzn1.dv.gti.98a9f666-bdba-0a81-d19a-1d748b0eb0f2,Prime Video,16+,123772,Interdiction aux mineurs -12 ans,Faible,56.72,Élevé,91.46,Élevé,52.7,Faible,65.96,Élevé,71.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12,153.0,,['US']
37,tt0372784,Batman Begins,movie,8.2,1646729.0,2005.0,tm167206,2.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.a2a9f69d-861e-995c-5d7e-aee64f47d596,Prime Video,TOUS PUBLICS,112939,Tous publics,Aucun,71.55,Modéré,74.88,Faible,74.18,Faible,77.11,Modéré,62.27,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,140.0,,['US']
38,tt0372784,Batman Begins,movie,8.2,1646729.0,2005.0,tm167206,2.0,tous publics,https://play.max.com/show/9cd867d4-81e5-433a-839a-a1c111b2623d?utm_source=universal_search,MAX,,112939,Tous publics,Aucun,71.55,Modéré,74.88,Faible,74.18,Faible,77.11,Modéré,62.27,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,140.0,,['US']
39,tt0102926,The Silence of the Lambs,movie,8.6,1635761.0,1991.0,tm8843,1.0,16,https://app.primevideo.com/detail?gti=amzn1.dv.gti.64a9f693-56af-a35d-68ff-749b64c66810,Prime Video,18+,75925,Interdiction aux mineurs -16 ans,Modéré,46.54,Élevé,82.75,Modéré,57.87,Aucun,82.52,Élevé,86.32,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,119.0,,['US']
40,tt7286456,Joker,movie,8.3,1608975.0,2019.0,tm349873,4.0,12 avec avertissement,https://www.mycanal.fr/cinema/joker/h/40442394_50889,MyCanal,-16,151541,Interdiction aux mineurs -12ans avec avertissement,Faible,62.83,Élevé,77.02,Modéré,57.18,Modéré,56.04,Élevé,77.82,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,['US']
