,id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,Diff
71,tt12637874,Fallout,tvSeries,"Action, Adventure, Drama",8.3,314330.0,2024.0,ts265779,1.0,['https://app.primevideo.com/detail?gti=amzn1.dv.gti.220a83cb-b9b4-4cad-b8a0-e768bb603fa7']
72,tt1586680,Shameless,tvSeries,"Comedy, Drama",8.5,311018.0,2011.0,ts22329,0.0,[]
73,tt6763664,The Haunting of Hill House,tvMiniSeries,"Drama, Horror, Mystery",8.5,309942.0,2018.0,ts58433,1.0,['https://www.netflix.com/title/80189221']
74,tt1312171,The Umbrella Academy,tvSeries,"Action, Adventure, Comedy",7.8,303758.0,2019.0,ts76645,1.0,['https://www.netflix.com/title/80186863']
75,tt1439629,Community,tvSeries,Comedy,8.5,303410.0,2009.0,ts8308,0.0,[]
76,tt1266020,Parks and Recreation,tvSeries,Comedy,8.6,302909.0,2009.0,ts20632,0.0,[]
77,tt0388629,One Piece,tvSeries,"Action, Adventure, Animation",8.9,297232.0,1999.0,ts255424,1.0,['https://www.netflix.com/title/80217863']
78,tt10234724,Moon Knight,tvMiniSeries,"Action, Adventure, Fantasy",7.3,292468.0,2022.0,ts219003,1.0,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fmoon-knight%2F4S3oOF1knocS&subId3=justappsvod']
79,tt2243973,Hannibal,tvSeries,"Crime, Drama, Horror",8.5,292322.0,2013.0,ts20142,0.0,[]
80,tt2661044,The 100,tvSeries,"Action, Drama, Sci-Fi",7.5,291439.0,2014.0,ts8146,0.0,[]
81,tt0303461,Firefly,tvSeries,"Adventure, Drama, Sci-Fi",8.9,290794.0,2002.0,ts2817,1.0,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Ffirefly%2F4O6n3rQC0ARa&subId3=justappsvod']
82,tt2741602,The Blacklist,tvSeries,"Crime, Drama, Mystery",7.9,290328.0,2013.0,ts1639,1.0,['https://www.netflix.com/title/70281312']
83,tt0369179,Two and a Half Men,tvSeries,"Comedy, Romance",7.1,289851.0,2003.0,ts21924,3.0,"['https://play.max.com/video/watch/b648c15a-2a75-45e5-af24-0ec312a78d90?utm_source=universal_search', 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.96af43d0-4755-071e-f5f2-f8dd686b2dfc', 'https://www.mycanal.fr/series/mon-oncle-charlie/h/40470523_50889']"
84,tt5675620,The Punisher,tvSeries,"Action, Crime, Drama",8.4,284738.0,2017.0,ts43178,1.0,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fthe-punisher%2F6JOZHgU6cBS3&subId3=justappsvod']
85,tt0285403,Scrubs,tvSeries,"Comedy, Drama",8.4,277487.0,2001.0,ts21608,1.0,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fscrubs%2F1sOHFVbWpbVb&subId3=justappsvod']
86,tt13406094,The White Lotus,tvSeries,"Comedy, Drama",8.0,277239.0,2021.0,ts256052,3.0,"['https://www.mycanal.fr/series/the-white-lotus/h/40427576_50889', 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.ecaae807-273f-4457-b1dd-77ae66fe2c92', 'https://play.max.com/video/watch/28ae9450-8192-4277-b661-e76eaad9b2e6?utm_source=universal_search']"
87,tt5834204,The Handmaid's Tale,tvSeries,"Drama, Sci-Fi, Thriller",8.3,276936.0,2017.0,ts53559,2.0,"['https://app.molotov.tv/channel/2326/program/42252', 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.0511cebe-5c8e-4349-81a3-aa314faecd52']"
88,tt4236770,Yellowstone,tvSeries,"Drama, Western",8.6,275341.0,2018.0,ts75269,4.0,"['https://www.paramountplus.com/shows/yellowstone/video/vPXPeC4posOemTL_KvmcbAPhi6j_s7_f/yellowstone-daybreak?searchReferral=', 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.0ab2103f-74b5-a20c-5d65-4193b9ef52fa', 'https://www.netflix.com/title/80238738', 'https://tv.apple.com']"
89,tt0804503,Mad Men,tvSeries,Drama,8.7,275165.0,2007.0,ts22013,1.0,['https://www.netflix.com/title/70136135']
90,tt6741278,Invincible,tvSeries,"Action, Adventure, Animation",8.7,275086.0,2021.0,ts281929,1.0,['https://app.primevideo.com/detail?gti=amzn1.dv.gti.d4bc0a58-139a-abbc-046b-d9ffcd25c463']
91,tt8772296,Euphoria,tvSeries,Drama,8.3,272017.0,2019.0,ts87074,3.0,"['https://app.primevideo.com/detail?gti=amzn1.dv.gti.4484919e-b089-4068-9615-95f574ccce0d', 'https://play.max.com/video/watch/a4c77a14-d711-440f-9907-0afc17f0e2a9?utm_source=universal_search', 'https://www.mycanal.fr/series/euphoria-episodes-speciaux/h/40468300_50889']"
92,tt0149460,Futurama,tvSeries,"Adventure, Animation, Comedy",8.5,271125.0,1999.0,ts304342,1.0,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Ffuturama%2F4B9X20Pjihaf&subId3=justappsvod']
93,tt4786824,The Crown,tvSeries,"Biography, Drama, History",8.6,270246.0,2016.0,ts42069,1.0,['https://www.netflix.com/title/80025678']
94,tt14452776,The Bear,tvSeries,"Comedy, Drama",8.5,269695.0,2022.0,ts314106,1.0,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fthe-bear%2F52m6nx7HoP5F&subId3=justappsvod']
95,tt9208876,The Falcon and the Winter Soldier,tvMiniSeries,"Action, Adventure, Drama",7.1,267620.0,2021.0,ts89898,1.0,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Ffalcon-et-le-soldat-de-lhiver%2F4gglDBMx8icA&subId3=justappsvod']
96,tt1442449,Spartacus,tvSeries,"Action, Adventure, Biography",8.5,266672.0,2010.0,ts21527,1.0,['https://app.primevideo.com/detail?gti=amzn1.dv.gti.66b83f22-3348-fb05-68f6-488a90c7a95a']
97,tt0844441,True Blood,tvSeries,"Drama, Fantasy, Mystery",7.9,266081.0,2008.0,ts20566,3.0,"['https://play.max.com/video/watch/d0ebdc62-7b2b-482f-ae05-1b198d6cdcf8?utm_source=universal_search', 'https://www.mycanal.fr/series/true-blood/h/40433932_50889', 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.10b66f48-0dee-8cee-aa1f-2d8027535d8e']"
98,tt0472954,It's Always Sunny in Philadelphia,tvSeries,Comedy,8.8,265999.0,2005.0,ts21546,1.0,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fphiladelphia%2F67id28oN9H8P&subId3=justappsvod']
99,tt9288030,Reacher,tvSeries,"Action, Crime, Drama",8.0,264671.0,2022.0,ts314375,1.0,['https://app.primevideo.com/detail?gti=amzn1.dv.gti.41f71162-2344-4089-accf-5ce0e9c12535']
100,tt1119644,Fringe,tvSeries,"Drama, Mystery, Sci-Fi",8.4,264068.0,2008.0,ts20536,3.0,"['https://app.primevideo.com/detail?gti=amzn1.dv.gti.e6b91ff4-8b6d-595f-edc8-30c40872bed8', 'https://play.max.com/video/watch/817d30a4-da86-4a97-ba61-1f8d341e76fb?utm_source=universal_search', 'https://www.mycanal.fr/series/fringe/h/40606739_50889']"
101,tt0106179,The X-Files,tvSeries,"Adventure, Crime, Drama",8.6,262473.0,1993.0,ts20974,2.0,"['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fx-files%2F5suiTvtcMtxC&subId3=justappsvod', 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.0cae8806-15ec-599d-c5cf-164489610fbc']"
102,tt0436992,Doctor Who,tvSeries,"Adventure, Drama, Sci-Fi",8.5,257156.0,2005.0,ts422861,1.0,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fdoctor-who%2F1ml73V6phgyZ&subId3=justappsvod']
103,tt0813715,Heroes,tvSeries,"Crime, Drama, Fantasy",7.5,256395.0,2006.0,ts20598,0.0,[]
