id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,CodePays
tt5420376,Riverdale,tvSeries,"Crime, Drama, Mystery",6.5,160634.0,2017.0,ts53023,1.0,16,'us'
tt1474684,Luther,tvSeries,"Crime, Drama, Mystery",8.4,159214.0,2010.0,ts21447,2.0,12,'gb'
tt0248654,Six Feet Under,tvSeries,"Comedy, Drama",8.7,158847.0,2001.0,ts21654,3.0,tous publics,'us'
tt1327801,Glee,tvSeries,"Comedy, Drama, Music",6.8,158706.0,2009.0,ts21231,2.0,tous publics::(dvd rating),'us'
tt10574558,Midnight Mass,tvMiniSeries,"Drama, Fantasy, Horror",7.7,157716.0,2021.0,ts215951,1.0,16::(self-applied),'us'
tt0264235,Curb Your Enthusiasm,tvSeries,Comedy,8.8,157211.0,2000.0,ts9245,3.0,10,'us'
tt1865718,Gravity Falls,tvSeries,"Adventure, Animation, Comedy",8.9,156857.0,2012.0,ts20439,1.0,tous publics,"'us', 'kr'"
tt7462410,The Wheel of Time,tvSeries,"Action, Adventure, Drama",7.2,155498.0,2021.0,ts57325,1.0,16::(self-applied),'us'
tt2632424,The Originals,tvSeries,"Drama, Fantasy, Horror",8.2,154823.0,2013.0,ts20824,3.0,10,'us'
tt12343534,Jujutsu Kaisen,tvSeries,"Action, Adventure, Animation",8.5,154106.0,2020.0,ts222852,4.0,not rated,"'jp', 'us'"
tt10168312,What If...?,tvSeries,"Action, Adventure, Animation",7.3,154013.0,2021.0,ts415083,1.0,12::(self-applied),"'us', 'au'"
tt0213338,Cowboy Bebop,tvSeries,"Action, Adventure, Animation",8.9,154001.0,1998.0,ts85985,1.0,tous publics,'jp'
tt0159206,Sex and the City,tvSeries,"Comedy, Drama, Romance",7.3,152665.0,1998.0,ts22060,3.0,10,'us'
tt14403178,Beef,tvSeries,"Comedy, Drama",8.0,151660.0,2023.0,ts296145,1.0,18,'us'
tt5788792,The Marvelous Mrs. Maisel,tvSeries,"Comedy, Drama",8.7,151058.0,2017.0,ts55995,1.0,18,'us'
tt0934814,Chuck,tvSeries,"Action, Comedy, Drama",8.2,150975.0,2007.0,ts6457,1.0,tous publics,'us'
tt3743822,Fear the Walking Dead,tvSeries,"Drama, Horror, Sci-Fi",6.8,150177.0,2015.0,ts36000,1.0,12,'us'
tt0212671,Malcolm in the Middle,tvSeries,"Comedy, Family",8.2,149524.0,2000.0,ts21566,1.0,tous publics,'us'
tt0098800,The Fresh Prince of Bel-Air,tvSeries,Comedy,7.9,149215.0,1990.0,ts11945,3.0,tous publics,'us'
tt2531336,Lupin,tvSeries,"Action, Crime, Drama",7.5,149209.0,2021.0,ts296046,1.0,13::(self-applied),"'fr', 'us'"
tt1358522,White Collar,tvSeries,"Comedy, Crime, Drama",8.2,149057.0,2009.0,ts20627,1.0,tous publics,'us'
tt13146488,Peacemaker,tvSeries,"Action, Adventure, Comedy",8.3,148275.0,2022.0,ts254885,3.0,10,'us'
tt7137906,When They See Us,tvMiniSeries,"Biography, Crime, Drama",8.8,148088.0,2019.0,ts82913,1.0,16,'us'
tt0409591,Naruto,tvSeries,"Action, Adventure, Animation",8.4,147095.0,2002.0,ts20305,5.0,10,'jp'
tt0410975,Desperate Housewives,tvSeries,"Comedy, Drama, Mystery",7.6,146882.0,2004.0,ts19868,1.0,10,'us'
tt7016936,Killing Eve,tvSeries,"Action, Adventure, Drama",8.1,146443.0,2018.0,ts58302,2.0,10,"'us', 'gb'"
tt6048596,The Sinner,tvSeries,"Crime, Drama, Mystery",7.8,146285.0,2017.0,ts56683,2.0,10,'us'
tt1695360,The Legend of Korra,tvSeries,"Action, Adventure, Animation",8.3,145092.0,2012.0,ts20457,6.0,tous publics,"'us', 'kr', 'jp'"
tt3322310,Iron Fist,tvSeries,"Action, Adventure, Crime",6.4,144719.0,2017.0,ts20007,1.0,16,'us'
tt3322314,Luke Cage,tvSeries,"Action, Crime, Drama",7.2,144445.0,2016.0,ts20008,1.0,16,'us'
tt0279600,Smallville,tvSeries,"Action, Adventure, Drama",7.5,144087.0,2001.0,ts21616,3.0,10,"'us', 'ca'"
tt0092455,Star Trek: The Next Generation,tvSeries,"Action, Adventure, Drama",8.7,143781.0,1987.0,ts22504,3.0,tous publics::(dvd rating),'us'
tt13991232,1883,tvMiniSeries,"Drama, Western",8.7,142856.0,2021.0,ts272606,5.0,16,'us'
tt0096657,Mr. Bean,tvSeries,"Comedy, Family",8.6,142721.0,1990.0,ts21396,1.0,tous publics,'gb'
tt5171438,Star Trek: Discovery,tvSeries,"Action, Adventure, Drama",7.0,142353.0,2017.0,ts41351,4.0,16,'us'
tt13918776,The Night Agent,tvSeries,"Action, Drama, Thriller",7.4,141582.0,2023.0,ts300649,1.0,16::(self-applied),'us'
tt7049682,Watchmen,tvMiniSeries,"Crime, Drama, Mystery",8.2,140949.0,2019.0,ts81384,3.0,12,'us'
tt0397306,American Dad!,tvSeries,"Animation, Comedy",7.4,140770.0,2005.0,ts15366,1.0,10,'us'
tt7203552,The Morning Show,tvSeries,Drama,8.2,139531.0,2019.0,ts222358,1.0,12,'us'
tt26693803,King the Land,tvSeries,"Comedy, Drama, Romance",5.5,138298.0,2023.0,ts381633,1.0,10,'kr'
tt0374463,The Pacific,tvMiniSeries,"Action, Adventure, Drama",8.3,138142.0,2010.0,ts21440,3.0,12::(self-applied),"'us', 'au'"
tt10970552,The Haunting of Bly Manor,tvMiniSeries,"Drama, Horror, Mystery",7.4,137252.0,2020.0,ts221200,1.0,16::(self-applied),'us'
tt0203259,Law & Order: Special Victims Unit,tvSeries,"Crime, Drama, Mystery",8.1,136527.0,1999.0,ts20386,4.0,12::(itunes),'us'
tt1830617,Grimm,tvSeries,"Crime, Drama, Fantasy",7.9,135887.0,2011.0,ts20606,1.0,tous publics::(dvd rating),'us'
tt2017109,Banshee,tvSeries,"Action, Crime, Drama",8.4,135870.0,2013.0,ts13608,3.0,16,'us'
tt2249364,Broadchurch,tvSeries,"Crime, Drama, Mystery",8.3,134256.0,2013.0,ts6265,2.0,tous publics::(dvd rating),'gb'
tt12262202,The Acolyte,tvSeries,"Action, Adventure, Drama",4.2,133799.0,2024.0,ts269546,1.0,12,'us'
tt6226232,Young Sheldon,tvSeries,Comedy,7.7,133005.0,2017.0,ts57131,5.0,tous publics,'us'
tt5348176,Barry,tvSeries,"Action, Comedy, Crime",8.3,132990.0,2018.0,ts74799,3.0,12,'us'
tt0458290,Star Wars: The Clone Wars,tvSeries,"Action, Adventure, Animation",8.4,132351.0,2008.0,ts1,1.0,tous publics,'us'
tt4016454,Supergirl,tvSeries,"Action, Adventure, Drama",6.2,132213.0,2015.0,ts35563,1.0,10,'us'
tt8962124,Emily in Paris,tvSeries,"Comedy, Drama, Romance",6.8,132048.0,2020.0,ts84146,1.0,16::(self-applied),'us'
